country,last,previous,referance,unit
ABD,8133.0,8133.0,2025-09,Tonnes
Almanya,3350.0,3350.0,2025-09,Tonnes
İtalya,2452.0,2452.0,2025-09,Tonnes
Fransa,2437.0,2437.0,2025-09,Tonnes
Rusya,2330.0,2330.0,2025-09,Tonnes
Çin,2304.0,2299.0,2025-09,Tonnes
İsviçre,1040.0,1040.0,2025-06,Tonnes
Hindistan,880.0,880.0,2025-09,Tonnes
Japonya,846.0,846.0,2025-09,Tonnes
Türkiye,641.0,635.0,2025-09,Tonnes
Hollanda,612.0,612.0,2025-09,Tonnes
Polonya,515.0,515.0,2025-09,Tonnes
Euro Bölgesi,507.0,507.0,2025-09,Tonnes
Tayvan,424.0,424.0,2025-03,Tonnes
Portekiz,383.0,383.0,2025-09,Tonnes
Özbekistan,361.0,365.0,2025-09,Tonnes
Kazakistan,324.0,306.0,2025-09,Tonnes
Suudi Arabistan,323.0,323.0,2025-03,Tonnes
İngiltere,310.0,310.0,2025-09,Tonnes
Lübnan,287.0,287.0,2025-03,Tonnes
İspanya,282.0,282.0,2025-09,Tonnes
Avusturya,280.0,280.0,2025-09,Tonnes
Tayland,235.0,235.0,2025-09,Tonnes
Belçika,227.0,227.0,2025-09,Tonnes
Singapur,205.0,204.0,2025-09,Tonnes
Azerbaycan,185.0,181.0,2025-09,Tonnes
Cezayir,174.0,174.0,2025-06,Tonnes
Irak,165.0,163.0,2025-06,Tonnes
Libya,147.0,147.0,2025-09,Tonnes
Brezilya,145.0,130.0,2025-09,Tonnes
Filipinler,132.0,130.0,2025-09,Tonnes
Mısır,129.0,129.0,2025-09,Tonnes
İsveç,126.0,126.0,2025-09,Tonnes
Güney Afrika,125.0,125.0,2025-09,Tonnes
Meksika,120.0,120.0,2025-09,Tonnes
Katar,116.0,116.0,2025-09,Tonnes
Yunanistan,115.0,115.0,2025-09,Tonnes
Macaristan,110.0,110.0,2025-09,Tonnes
Güney Kore,104.0,104.0,2025-06,Tonnes
Romanya,104.0,104.0,2025-09,Tonnes
Avustralya,79.87,79.87,2025-09,Tonnes
Kuveyt,78.97,78.97,2025-06,Tonnes
Endonezya,78.57,78.57,2025-06,Tonnes
Birleşik Arap Emirlikleri,74.4,74.6,2025-06,Tonnes
Ürdün,72.83,72.27,2025-06,Tonnes
Çek Cumhuriyeti,66.84,61.95,2025-09,Tonnes
Danimarka,66.55,66.55,2025-09,Tonnes
Pakistan,64.76,64.75,2025-09,Tonnes
Arjantin,61.74,61.74,2025-09,Tonnes
Kamboçya,54.43,54.43,2025-09,Tonnes
Beyaz Rusya,53.86,53.86,2025-09,Tonnes
Sırbistan,51.69,50.31,2025-09,Tonnes
Finlandiya,43.76,43.76,2025-09,Tonnes
Bulgaristan,42.93,40.87,2025-09,Tonnes
Kırgızistan,40.7,38.95,2025-09,Tonnes
Malezya,38.88,38.88,2025-09,Tonnes
Peru,34.67,34.67,2024-12,Tonnes
Gana,32.99,31.01,2025-06,Tonnes
Slovakya,31.69,31.69,2025-09,Tonnes
Ukrayna,27.37,27.37,2025-12,Tonnes
Ekvador,26.28,26.28,2025-06,Tonnes
Bolivya,22.5,22.53,2025-03,Tonnes
Fas,22.12,22.12,2025-06,Tonnes
Bangladeş,14.28,14.28,2025-09,Tonnes
Kıbrıs,13.9,13.9,2025-09,Tonnes
Mauritius,12.42,12.42,2025-09,Tonnes
İrlanda,12.04,12.04,2025-09,Tonnes
Paraguay,8.19,8.19,2024-06,Tonnes
Nepal,7.99,7.99,2024-06,Tonnes
Moğolistan,7.64,7.25,2025-09,Tonnes
Makedonya,6.89,6.89,2025-09,Tonnes
Tunus,6.84,6.84,2025-09,Tonnes
Umman,6.73,6.73,2025-03,Tonnes
Letonya,6.66,6.66,2025-09,Tonnes
Guatemala,6.13,6.89,2025-09,Tonnes
Litvanya,5.82,5.82,2025-09,Tonnes
Kolombiya,4.68,4.68,2025-09,Tonnes
Bahreyn,4.67,4.67,2025-06,Tonnes
Slovenya,4.01,3.73,2025-09,Tonnes
Mozambik,3.94,3.94,2025-06,Tonnes
Bosna-Hersek,3.48,3.48,2025-03,Tonnes
Arnavutluk,3.42,3.42,2025-03,Tonnes
Aruba,3.11,3.11,2024-09,Tonnes
Lüksemburg,2.24,2.24,2025-09,Tonnes
Hong Kong,2.08,2.08,2025-06,Tonnes
Trinidad ve Tobago,2.0,1.96,2025-06,Tonnes
İzlanda,1.98,1.98,2025-09,Tonnes
Papua Yeni Gine,1.96,1.96,2024-06,Tonnes
El Salvador,1.81,1.37,2025-09,Tonnes
Haiti,1.81,1.81,2025-06,Tonnes
Surinam,1.21,1.21,2025-09,Tonnes
Honduras,0.7,0.7,2025-06,Tonnes
Dominik Cumhuriyeti,0.57,0.57,2025-09,Tonnes
Sri Lanka,0.47,0.47,2025-06,Tonnes
Malta,0.34,0.31,2025-09,Tonnes
Şili,0.25,0.25,2025-09,Tonnes
Estonya,0.25,0.25,2025-09,Tonnes
Uruguay,0.1,0.1,2025-09,Tonnes
Fiji,0.03,0.03,2025-06,Tonnes
Kenya,0.02,0.02,2025-06,Tonnes
Ermenistan,0.0,0.0,2025-09,Tonnes
Kanada,0.0,0.0,2025-09,Tonnes
